(('168', '265', '3', '265', '168'), 1052)
(('265', '168', '265', '3', '265'), 850)
(('265', '3', '265', '168', '265'), 731)
(('3', '265', '168', '265', '3'), 624)
(('168', '265', '43', '3', '265'), 615)
(('265', '43', '3', '265', '43'), 606)
(('265', '265', '265', '265', '168'), 521)
(('168', '265', '265', '265', '265'), 515)
(('4', '4', '4', '4', '4'), 494)
(('168', '168', '265', '3', '265'), 459)
(('265', '265', '265', '168', '265'), 407)
(('265', '265', '168', '265', '265'), 366)
(('43', '3', '265', '43', '168'), 362)
(('265', '168', '265', '265', '265'), 361)
(('3', '3', '3', '3', '3'), 352)
(('265', '3', '265', '168', '168'), 343)
(('13', '4', '78', '13', '13'), 338)
(('240', '240', '13', '4', '78'), 330)
(('4', '78', '13', '13', '78'), 322)
(('78', '13', '13', '78', '13'), 305)
(('265', '168', '168', '265', '3'), 304)
(('240', '13', '4', '78', '13'), 298)
(('3', '265', '43', '168', '265'), 274)
(('168', '265', '3', '265', '265'), 265)
(('265', '43', '168', '265', '43'), 256)
(('3', '265', '168', '168', '265'), 253)
(('265', '168', '168', '168', '265'), 249)
(('43', '168', '265', '43', '3'), 243)
(('265', '265', '265', '168', '168'), 241)
(('265', '265', '168', '168', '265'), 228)
(('168', '168', '265', '265', '265'), 228)
(('168', '168', '168', '168', '168'), 220)
(('265', '168', '265', '168', '265'), 212)
(('168', '168', '168', '168', '265'), 210)
(('3', '168', '265', '3', '265'), 205)
(('168', '168', '168', '265', '265'), 197)
(('168', '265', '3', '265', '3'), 190)
(('265', '265', '168', '168', '168'), 190)
(('13', '13', '78', '13', '265'), 188)
(('265', '168', '168', '265', '265'), 181)
(('265', '3', '265', '265', '168'), 180)
(('265', '168', '168', '168', '168'), 177)
(('265', '265', '265', '265', '265'), 174)
(('13', '78', '13', '265', '265'), 169)
(('174', '174', '174', '174', '174'), 166)
(('168', '168', '168', '265', '3'), 164)
(('168', '265', '168', '265', '3'), 163)
(('168', '168', '265', '168', '265'), 163)
(('265', '168', '265', '43', '3'), 161)
(('168', '168', '168', '265', '168'), 159)
(('265', '265', '168', '265', '3'), 158)
(('168', '168', '265', '43', '3'), 152)
(('265', '3', '168', '265', '3'), 152)
(('168', '265', '168', '168', '265'), 141)
(('265', '265', '168', '265', '168'), 139)
(('168', '168', '265', '168', '168'), 136)
(('168', '265', '168', '168', '168'), 135)
(('3', '265', '168', '168', '168'), 134)
(('3', '265', '265', '168', '265'), 133)
(('125', '125', '125', '125', '125'), 132)
(('168', '265', '265', '168', '265'), 129)
(('168', '265', '265', '3', '168'), 129)
(('43', '3', '265', '43', '265'), 128)
(('168', '265', '168', '265', '265'), 128)
(('265', '265', '3', '168', '168'), 126)
(('265', '168', '265', '168', '168'), 125)
(('5', '3', '197', '192', '192'), 123)
(('265', '168', '168', '265', '168'), 121)
(('240', '240', '240', '13', '4'), 120)
(('265', '240', '240', '13', '4'), 119)
(('265', '3', '265', '3', '168'), 119)
(('168', '265', '168', '265', '168'), 117)
(('265', '168', '265', '265', '168'), 115)
(('3', '168', '265', '43', '3'), 111)
(('3', '265', '168', '265', '168'), 108)
(('43', '3', '265', '43', '3'), 108)
(('78', '102', '78', '78', '142'), 106)
(('142', '78', '102', '78', '78'), 105)
(('78', '13', '265', '265', '240'), 104)
(('265', '265', '240', '240', '13'), 102)
(('102', '78', '78', '142', '78'), 102)
(('168', '265', '3', '168', '265'), 101)
(('168', '265', '265', '168', '168'), 100)
(('3', '265', '43', '168', '168'), 97)
(('168', '168', '265', '265', '168'), 96)
(('3', '265', '3', '168', '265'), 95)
(('78', '78', '142', '78', '102'), 93)
(('168', '265', '265', '265', '168'), 92)
(('78', '142', '78', '102', '78'), 91)
(('192', '6', '33', '5', '3'), 89)
(('6', '33', '5', '3', '197'), 88)
(('13', '13', '78', '13', '13'), 88)
(('142', '265', '104', '3', '3'), 87)
(('265', '3', '168', '168', '146'), 87)
(('33', '5', '3', '197', '192'), 87)
(('3', '197', '192', '192', '6'), 85)
(('13', '265', '265', '240', '240'), 84)
(('13', '78', '13', '13', '4'), 82)
(('13', '240', '240', '13', '4'), 82)
(('4', '240', '240', '13', '4'), 82)
(('265', '3', '265', '3', '265'), 80)
(('3', '168', '168', '168', '265'), 78)
(('265', '168', '265', '3', '168'), 76)
(('265', '3', '168', '168', '265'), 76)
(('3', '168', '168', '265', '3'), 73)
(('3', '168', '168', '146', '168'), 71)
(('3', '265', '265', '168', '168'), 71)
(('265', '43', '168', '168', '265'), 70)
(('265', '104', '3', '3', '146'), 69)
