(('265', '168', '265'), 2108)
(('168', '265', '3'), 1761)
(('265', '3', '265'), 1728)
(('265', '265', '265'), 1509)
(('168', '168', '265'), 1507)
(('3', '265', '168'), 1374)
(('265', '168', '168'), 1240)
(('265', '265', '168'), 1230)
(('168', '168', '168'), 1183)
(('168', '265', '265'), 1119)
(('168', '265', '168'), 899)
(('265', '43', '3'), 821)
(('168', '265', '43'), 810)
(('43', '3', '265'), 729)
(('3', '265', '43'), 726)
(('3', '3', '3'), 672)
(('240', '240', '13'), 590)
(('4', '4', '4'), 578)
(('3', '168', '265'), 566)
(('265', '3', '168'), 543)
(('265', '43', '168'), 513)
(('240', '13', '4'), 511)
(('3', '168', '168'), 476)
(('78', '13', '13'), 471)
(('3', '265', '265'), 440)
(('13', '4', '78'), 435)
(('4', '78', '13'), 413)
(('43', '168', '265'), 376)
(('13', '13', '78'), 350)
(('13', '78', '13'), 338)
(('168', '3', '168'), 333)
(('265', '265', '3'), 326)
(('240', '240', '240'), 326)
(('3', '265', '3'), 319)
(('168', '168', '3'), 267)
(('78', '142', '78'), 260)
(('265', '168', '3'), 249)
(('78', '78', '142'), 244)
(('4', '240', '240'), 222)
(('3', '3', '168'), 213)
(('174', '174', '174'), 202)
(('168', '3', '265'), 201)
(('13', '240', '240'), 199)
(('78', '13', '265'), 195)
(('265', '43', '265'), 193)
(('125', '125', '125'), 189)
(('168', '3', '3'), 182)
(('265', '240', '240'), 182)
(('3', '3', '265'), 175)
(('13', '265', '265'), 175)
(('265', '265', '240'), 173)
(('265', '3', '3'), 172)
(('5', '197', '192'), 163)
(('142', '78', '102'), 162)
(('43', '168', '168'), 146)
(('78', '102', '78'), 139)
(('265', '104', '3'), 137)
(('192', '192', '6'), 136)
(('197', '192', '192'), 135)
(('78', '240', '240'), 132)
(('102', '78', '78'), 131)
(('3', '197', '192'), 129)
(('5', '3', '197'), 129)
(('142', '265', '104'), 129)
(('3', '6', '91'), 122)
(('78', '78', '78'), 121)
(('43', '3', '168'), 121)
(('197', '192', '3'), 120)
(('13', '13', '4'), 117)
(('168', '146', '168'), 115)
(('3', '168', '3'), 114)
(('104', '3', '3'), 113)
(('168', '168', '146'), 112)
(('192', '6', '33'), 112)
(('6', '33', '5'), 111)
(('43', '265', '168'), 106)
(('13', '4', '265'), 105)
(('240', '4', '240'), 98)
(('142', '142', '142'), 98)
(('162', '114', '162'), 97)
(('240', '13', '240'), 97)
(('4', '265', '265'), 92)
(('13', '4', '240'), 91)
(('33', '5', '3'), 91)
(('142', '142', '3'), 89)
(('240', '240', '4'), 84)
(('3', '3', '146'), 83)
(('265', '265', '102'), 82)
(('265', '142', '265'), 81)
(('5', '5', '5'), 79)
(('142', '78', '78'), 77)
(('3', '146', '104'), 76)
