(('168', '168', '168'), 4318)
(('168', '265', '168'), 1807)
(('168', '168', '265'), 1754)
(('265', '168', '168'), 1710)
(('265', '168', '265'), 1028)
(('168', '3', '168'), 946)
(('3', '168', '168'), 935)
(('168', '168', '3'), 903)
(('168', '265', '265'), 891)
(('265', '265', '168'), 886)
(('3', '3', '3'), 836)
(('265', '265', '265'), 601)
(('168', '265', '3'), 569)
(('3', '265', '168'), 520)
(('265', '3', '168'), 516)
(('301', '301', '301'), 513)
(('3', '168', '265'), 509)
(('168', '3', '265'), 490)
(('265', '168', '3'), 481)
(('168', '102', '168'), 418)
(('3', '168', '3'), 415)
(('3', '3', '168'), 399)
(('265', '3', '265'), 381)
(('168', '3', '3'), 374)
(('3', '265', '265'), 345)
(('195', '195', '195'), 344)
(('265', '265', '3'), 329)
(('102', '168', '102'), 315)
(('265', '3', '3'), 308)
(('3', '265', '3'), 296)
(('3', '3', '265'), 274)
(('19', '3', '3'), 225)
(('3', '3', '19'), 220)
(('102', '168', '168'), 199)
(('3', '19', '3'), 192)
(('168', '168', '102'), 188)
(('19', '19', '3'), 157)
(('3', '19', '19'), 155)
(('54', '54', '54'), 143)
(('19', '3', '19'), 123)
(('168', '146', '168'), 120)
(('19', '19', '19'), 119)
(('3', '142', '3'), 117)
(('5', '5', '5'), 109)
(('168', '168', '146'), 100)
(('146', '168', '168'), 94)
(('142', '142', '142'), 93)
(('168', '265', '43'), 91)
(('43', '168', '168'), 89)
(('142', '3', '3'), 84)
(('3', '3', '142'), 84)
(('168', '43', '168'), 82)
(('265', '43', '168'), 82)
(('142', '3', '142'), 81)
(('5', '3', '5'), 79)
(('102', '102', '168'), 76)
(('168', '168', '43'), 75)
(('3', '5', '5'), 73)
(('174', '174', '174'), 72)
(('3', '142', '142'), 72)
(('142', '142', '3'), 71)
(('54', '54', '309'), 70)
(('54', '309', '54'), 69)
(('5', '5', '3'), 69)
(('309', '54', '54'), 68)
(('142', '3', '265'), 62)
(('43', '168', '265'), 60)
(('78', '78', '78'), 59)
(('168', '102', '102'), 59)
(('43', '168', '3'), 56)
(('3', '168', '43'), 55)
(('265', '3', '142'), 55)
(('265', '43', '3'), 54)
(('168', '43', '265'), 54)
(('43', '265', '168'), 54)
(('3', '265', '43'), 52)
(('3', '265', '142'), 51)
(('265', '142', '142'), 51)
(('265', '265', '43'), 49)
(('43', '3', '265'), 49)
(('43', '3', '168'), 49)
(('146', '168', '265'), 47)
(('265', '43', '265'), 47)
(('102', '102', '102'), 46)
(('265', '168', '146'), 46)
(('4', '4', '4'), 46)
(('3', '5', '3'), 46)
(('5', '3', '3'), 44)
(('265', '168', '43'), 44)
(('142', '265', '142'), 44)
(('265', '142', '3'), 44)
(('91', '5', '5'), 43)
(('146', '3', '168'), 42)
(('3', '142', '265'), 42)
(('168', '3', '43'), 42)
(('168', '146', '3'), 41)
(('168', '265', '146'), 41)
(('142', '142', '265'), 40)
(('265', '146', '168'), 40)
(('5', '91', '5'), 40)
(('3', '168', '146'), 39)
(('168', '146', '265'), 38)
(('43', '265', '265'), 38)
(('142', '265', '3'), 38)
(('104', '3', '3'), 38)
(('3', '104', '3'), 37)
(('43', '265', '3'), 37)
(('220', '301', '301'), 37)
(('3', '43', '168'), 36)
(('3', '3', '5'), 36)
(('3', '3', '104'), 36)
(('168', '43', '3'), 35)
(('146', '265', '168'), 35)
(('265', '265', '142'), 35)
(('175', '142', '3'), 34)
(('4', '13', '4'), 34)
(('265', '142', '265'), 33)
(('104', '3', '142'), 33)
(('301', '301', '220'), 31)
(('3', '3', '175'), 31)
(('142', '3', '104'), 31)
(('146', '3', '265'), 31)
(('146', '168', '3'), 31)
(('146', '3', '3'), 31)
(('13', '4', '4'), 30)
(('3', '175', '142'), 30)
(('265', '146', '3'), 30)
(('33', '33', '33'), 29)
(('5', '3', '197'), 29)
(('5', '5', '91'), 29)
(('142', '3', '175'), 28)
(('265', '146', '265'), 28)
(('265', '265', '146'), 28)
(('142', '104', '3'), 28)
(('240', '4', '4'), 28)
(('3', '43', '265'), 27)
(('104', '265', '3'), 27)
(('4', '4', '13'), 27)
(('142', '142', '146'), 27)
(('13', '4', '13'), 27)
(('3', '175', '3'), 27)
(('146', '265', '265'), 27)
(('142', '265', '265'), 26)
(('265', '104', '3'), 26)
(('3', '3', '6'), 26)
(('3', '3', '146'), 26)
(('301', '220', '301'), 26)
(('3', '146', '3'), 25)
(('221', '301', '301'), 25)
(('265', '3', '43'), 25)
(('43', '43', '168'), 25)
(('3', '91', '5'), 25)
(('4', '4', '240'), 24)
(('265', '102', '168'), 24)
(('301', '301', '300'), 24)
(('168', '3', '146'), 24)
(('91', '5', '91'), 24)
(('301', '301', '221'), 23)
(('3', '142', '175'), 23)
(('5', '5', '6'), 23)
(('6', '5', '5'), 23)
(('3', '6', '5'), 23)
(('3', '265', '104'), 23)
(('3', '197', '192'), 22)
(('197', '192', '192'), 22)
(('192', '192', '6'), 22)
(('309', '309', '54'), 22)
(('13', '13', '4'), 22)
(('3', '104', '265'), 22)
(('301', '221', '301'), 22)
(('104', '142', '3'), 22)
(('3', '146', '168'), 21)
(('168', '168', '78'), 21)
(('3', '5', '6'), 21)
(('54', '309', '309'), 21)
(('142', '175', '142'), 21)
(('3', '104', '142'), 21)
(('168', '265', '102'), 21)
(('33', '5', '3'), 21)
(('192', '6', '33'), 21)
(('309', '54', '309'), 21)
(('3', '3', '91'), 21)
(('5', '3', '6'), 21)
(('4', '13', '13'), 21)
(('265', '43', '43'), 21)
(('5', '3', '91'), 21)
(('125', '125', '125'), 21)
(('6', '33', '5'), 21)
(('4', '4', '78'), 20)
(('146', '168', '146'), 20)
(('78', '168', '168'), 20)
(('102', '168', '265'), 20)
(('168', '43', '43'), 20)
(('5', '6', '5'), 20)
(('3', '91', '3'), 20)
(('142', '265', '104'), 20)
(('6', '91', '5'), 20)
(('6', '5', '3'), 20)
(('13', '13', '13'), 20)
(('142', '146', '265'), 20)
(('91', '5', '3'), 20)
(('78', '13', '13'), 19)
(('168', '102', '265'), 19)
(('3', '43', '3'), 19)
(('3', '3', '43'), 19)
(('104', '3', '265'), 19)
(('91', '3', '5'), 18)
(('175', '3', '142'), 18)
(('265', '104', '265'), 18)
(('43', '168', '43'), 18)
(('4', '78', '13'), 18)
(('265', '142', '146'), 18)
(('142', '142', '104'), 18)
(('5', '6', '3'), 18)
(('3', '146', '265'), 18)
(('104', '265', '142'), 18)
(('3', '146', '142'), 18)
(('102', '265', '168'), 18)
(('142', '146', '3'), 18)
(('301', '301', '6'), 17)
(('5', '197', '192'), 17)
(('6', '3', '5'), 17)
(('3', '265', '146'), 17)
(('265', '168', '102'), 17)
(('91', '91', '5'), 17)
(('3', '6', '91'), 17)
(('33', '33', '195'), 17)
(('146', '265', '3'), 17)
(('265', '3', '146'), 17)
(('142', '104', '265'), 17)
(('175', '3', '3'), 17)
(('196', '196', '196'), 17)
(('301', '300', '301'), 17)
(('43', '43', '265'), 17)
(('265', '142', '104'), 17)
(('142', '146', '142'), 17)
(('13', '4', '78'), 17)
(('146', '265', '142'), 17)
(('142', '175', '3'), 16)
(('4', '13', '240'), 16)
(('5', '91', '91'), 16)
(('196', '33', '33'), 16)
(('4', '240', '4'), 16)
(('5', '5', '192'), 16)
(('195', '195', '33'), 16)
(('142', '3', '146'), 16)
(('4', '78', '4'), 16)
(('240', '13', '4'), 16)
(('240', '240', '4'), 16)
(('104', '3', '104'), 16)
(('5', '6', '91'), 16)
(('146', '142', '142'), 16)
(('3', '142', '146'), 16)
(('300', '301', '301'), 16)
(('91', '3', '3'), 16)
(('175', '3', '175'), 15)
(('265', '3', '104'), 15)
(('13', '240', '240'), 15)
(('340', '168', '168'), 15)
(('6', '3', '3'), 15)
(('168', '78', '3'), 15)
(('146', '142', '3'), 15)
(('168', '102', '45'), 15)
(('104', '265', '265'), 15)
(('104', '142', '265'), 14)
(('301', '6', '301'), 14)
(('142', '265', '146'), 14)
(('4', '168', '168'), 14)
(('6', '301', '301'), 14)
(('240', '240', '13'), 14)
(('3', '142', '104'), 14)
(('3', '5', '91'), 14)
(('78', '4', '4'), 14)
(('195', '33', '33'), 14)
(('43', '3', '3'), 14)
(('5', '195', '5'), 14)
(('43', '265', '43'), 14)
(('104', '142', '142'), 14)
(('3', '175', '265'), 13)
(('33', '195', '33'), 13)
(('175', '104', '3'), 13)
(('168', '168', '4'), 13)
(('168', '102', '192'), 13)
(('240', '4', '13'), 13)
(('91', '6', '5'), 13)
(('13', '240', '4'), 13)
(('33', '33', '13'), 13)
(('195', '195', '196'), 13)
(('13', '13', '240'), 13)
(('91', '91', '91'), 13)
(('78', '3', '78'), 13)
(('3', '6', '3'), 13)
(('4', '240', '240'), 13)
(('13', '13', '78'), 13)
(('295', '301', '301'), 13)
(('5', '91', '3'), 12)
(('5', '5', '197'), 12)
(('78', '4', '13'), 12)
(('175', '265', '3'), 12)
(('3', '175', '104'), 12)
(('78', '102', '168'), 12)
(('3', '78', '78'), 12)
(('4', '78', '240'), 12)
(('265', '265', '104'), 12)
(('175', '142', '175'), 12)
(('78', '13', '4'), 12)
(('195', '196', '196'), 12)
(('142', '104', '142'), 12)
(('5', '197', '5'), 12)
(('7', '142', '142'), 12)
(('13', '78', '13'), 12)
(('91', '5', '195'), 12)
(('3', '104', '175'), 12)
(('33', '195', '195'), 12)
(('146', '142', '265'), 12)
(('54', '3', '54'), 12)
(('175', '175', '175'), 11)
(('91', '5', '6'), 11)
(('265', '265', '102'), 11)
(('104', '3', '175'), 11)
(('197', '5', '5'), 11)
(('4', '240', '13'), 11)
(('142', '142', '7'), 11)
(('240', '78', '4'), 11)
(('168', '340', '168'), 11)
(('192', '5', '5'), 11)
(('240', '240', '240'), 11)
(('175', '175', '142'), 11)
(('301', '301', '295'), 11)
(('196', '196', '33'), 11)
(('3', '197', '5'), 11)
(('340', '168', '265'), 11)
(('3', '175', '175'), 11)
(('195', '195', '5'), 11)
