(('168', '168', '168', '168', '168', '168', '168'), 853)
(('195', '195', '195', '195', '195', '195', '195'), 287)
(('301', '301', '301', '301', '301', '301', '301'), 280)
(('168', '168', '168', '168', '168', '168', '265'), 239)
(('265', '168', '168', '168', '168', '168', '168'), 217)
(('168', '168', '168', '168', '168', '265', '168'), 215)
(('3', '3', '3', '3', '3', '3', '3'), 206)
(('168', '265', '168', '168', '168', '168', '168'), 201)
(('168', '168', '168', '265', '168', '168', '168'), 198)
(('168', '168', '265', '168', '168', '168', '168'), 190)
(('168', '168', '168', '168', '265', '168', '168'), 180)
(('168', '102', '168', '102', '168', '102', '168'), 133)
(('102', '168', '102', '168', '102', '168', '102'), 120)
(('168', '168', '168', '168', '265', '168', '265'), 107)
(('168', '168', '168', '265', '168', '265', '168'), 106)
(('168', '168', '265', '168', '265', '168', '168'), 106)
(('168', '265', '168', '265', '168', '168', '168'), 103)
(('168', '265', '168', '168', '168', '265', '168'), 93)
(('265', '265', '168', '168', '168', '168', '168'), 93)
(('3', '168', '168', '168', '168', '168', '168'), 92)
(('265', '168', '265', '168', '168', '168', '168'), 89)
(('168', '265', '265', '168', '168', '168', '168'), 89)
(('168', '168', '168', '168', '168', '265', '265'), 89)
(('168', '168', '265', '168', '168', '168', '265'), 86)
(('265', '168', '168', '168', '265', '168', '168'), 86)
(('168', '3', '168', '168', '168', '168', '168'), 82)
(('265', '168', '168', '265', '168', '168', '168'), 78)
(('168', '265', '168', '168', '265', '168', '168'), 75)
(('168', '168', '168', '168', '168', '168', '3'), 74)
(('168', '168', '168', '265', '168', '168', '265'), 74)
(('265', '168', '168', '168', '168', '265', '168'), 74)
(('265', '168', '168', '168', '168', '168', '265'), 73)
(('168', '168', '265', '265', '168', '168', '168'), 73)
(('168', '265', '168', '168', '168', '168', '265'), 73)
(('168', '168', '168', '265', '265', '168', '168'), 72)
(('168', '168', '168', '168', '265', '265', '168'), 70)
(('168', '168', '3', '168', '168', '168', '168'), 70)
(('168', '168', '265', '168', '168', '265', '168'), 68)
(('168', '168', '168', '3', '168', '168', '168'), 66)
(('168', '168', '168', '168', '168', '3', '168'), 64)
(('168', '168', '168', '168', '3', '168', '168'), 64)
(('168', '265', '168', '265', '168', '168', '265'), 54)
(('168', '168', '168', '265', '168', '265', '265'), 54)
(('174', '174', '174', '174', '174', '174', '174'), 53)
(('265', '168', '265', '168', '168', '168', '265'), 52)
(('265', '168', '168', '168', '265', '168', '265'), 51)
(('265', '265', '265', '168', '168', '168', '168'), 51)
(('265', '168', '265', '265', '168', '168', '168'), 49)
(('168', '265', '168', '265', '265', '168', '168'), 49)
(('168', '265', '168', '265', '168', '265', '168'), 48)
(('265', '168', '265', '168', '265', '168', '168'), 47)
(('168', '168', '168', '168', '265', '265', '265'), 47)
(('168', '168', '265', '265', '168', '265', '168'), 47)
(('168', '168', '265', '168', '265', '265', '168'), 47)
(('265', '265', '168', '168', '168', '168', '265'), 45)
(('168', '168', '168', '265', '265', '265', '168'), 44)
(('265', '168', '265', '168', '168', '265', '168'), 43)
(('265', '265', '168', '265', '168', '168', '168'), 42)
(('168', '168', '168', '168', '168', '265', '3'), 41)
(('265', '168', '168', '168', '168', '265', '265'), 41)
(('168', '265', '265', '265', '168', '168', '168'), 41)
(('168', '168', '265', '265', '265', '168', '168'), 40)
(('265', '265', '168', '168', '168', '265', '168'), 39)
(('168', '168', '168', '265', '265', '168', '265'), 39)
(('168', '265', '168', '168', '168', '265', '265'), 39)
(('265', '3', '168', '168', '168', '168', '168'), 38)
(('168', '265', '265', '168', '168', '265', '168'), 38)
(('168', '265', '265', '168', '265', '168', '168'), 38)
(('265', '265', '168', '168', '265', '168', '168'), 37)
(('3', '168', '168', '168', '168', '168', '265'), 37)
(('168', '168', '265', '265', '168', '168', '265'), 37)
(('265', '168', '168', '168', '265', '265', '168'), 37)
(('168', '168', '265', '168', '265', '168', '265'), 37)
(('168', '168', '168', '168', '168', '3', '265'), 37)
(('265', '168', '168', '3', '168', '168', '168'), 36)
(('168', '265', '168', '168', '168', '3', '168'), 36)
(('168', '168', '168', '3', '168', '168', '265'), 36)
(('265', '265', '265', '265', '168', '168', '168'), 36)
(('168', '3', '168', '168', '168', '265', '168'), 36)
(('168', '265', '168', '168', '168', '168', '3'), 35)
(('168', '265', '168', '168', '265', '265', '168'), 35)
(('168', '168', '265', '3', '168', '168', '168'), 35)
(('168', '168', '265', '168', '168', '168', '3'), 35)
(('168', '3', '168', '265', '168', '168', '168'), 34)
(('265', '168', '3', '168', '168', '168', '168'), 34)
(('265', '168', '265', '168', '168', '265', '265'), 34)
(('78', '78', '78', '78', '78', '78', '78'), 33)
(('168', '168', '168', '168', '265', '3', '168'), 33)
(('168', '265', '265', '265', '265', '168', '168'), 33)
(('168', '265', '168', '168', '265', '168', '265'), 33)
(('265', '168', '168', '265', '265', '168', '168'), 33)
(('168', '168', '168', '168', '3', '265', '168'), 32)
(('168', '168', '168', '3', '265', '168', '168'), 32)
(('168', '265', '265', '168', '168', '168', '265'), 32)
(('168', '168', '168', '265', '3', '168', '168'), 32)
(('168', '168', '168', '3', '168', '265', '168'), 31)
(('168', '168', '168', '265', '168', '3', '168'), 31)
