(('168', '168', '168', '168', '168'), 1742)
(('168', '168', '168', '265', '168'), 566)
(('168', '265', '168', '168', '168'), 561)
(('168', '168', '168', '168', '265'), 556)
(('265', '168', '168', '168', '168'), 549)
(('168', '168', '265', '168', '168'), 513)
(('301', '301', '301', '301', '301'), 370)
(('3', '3', '3', '3', '3'), 321)
(('195', '195', '195', '195', '195'), 307)
(('265', '168', '265', '168', '168'), 305)
(('168', '265', '168', '265', '168'), 299)
(('168', '168', '265', '168', '265'), 277)
(('265', '265', '168', '168', '168'), 269)
(('265', '168', '168', '168', '265'), 260)
(('168', '168', '168', '265', '265'), 252)
(('3', '168', '168', '168', '168'), 252)
(('168', '265', '168', '168', '265'), 251)
(('168', '168', '168', '168', '3'), 236)
(('168', '265', '265', '168', '168'), 236)
(('265', '168', '168', '265', '168'), 236)
(('168', '3', '168', '168', '168'), 235)
(('168', '168', '265', '265', '168'), 234)
(('168', '168', '3', '168', '168'), 231)
(('168', '168', '168', '3', '168'), 226)
(('168', '102', '168', '102', '168'), 205)
(('102', '168', '102', '168', '102'), 178)
(('265', '168', '265', '168', '265'), 159)
(('168', '265', '168', '265', '265'), 153)
(('265', '265', '168', '265', '168'), 150)
(('168', '168', '265', '265', '265'), 145)
(('265', '265', '265', '168', '168'), 144)
(('3', '168', '168', '168', '265'), 136)
(('168', '265', '265', '168', '265'), 136)
(('168', '168', '168', '265', '3'), 133)
(('265', '168', '265', '265', '168'), 132)
(('168', '265', '265', '265', '168'), 130)
(('265', '3', '168', '168', '168'), 128)
(('265', '168', '168', '168', '3'), 127)
(('168', '265', '168', '3', '168'), 125)
(('265', '168', '168', '265', '265'), 124)
(('168', '265', '3', '168', '168'), 122)
(('168', '3', '168', '265', '168'), 122)
(('168', '168', '265', '3', '168'), 121)
(('168', '168', '168', '3', '265'), 120)
(('168', '265', '168', '168', '3'), 119)
(('168', '168', '3', '168', '265'), 118)
(('168', '3', '168', '168', '265'), 117)
(('265', '168', '168', '3', '168'), 115)
(('3', '168', '265', '168', '168'), 113)
(('168', '168', '265', '168', '3'), 111)
(('265', '265', '168', '168', '265'), 111)
(('265', '168', '3', '168', '168'), 109)
(('168', '3', '168', '3', '168'), 109)
(('168', '168', '3', '265', '168'), 108)
(('168', '265', '265', '265', '265'), 104)
(('3', '265', '168', '168', '168'), 102)
(('168', '3', '265', '168', '168'), 102)
(('3', '168', '168', '265', '168'), 97)
(('3', '3', '168', '168', '168'), 96)
(('168', '168', '168', '3', '3'), 93)
(('3', '168', '3', '168', '168'), 92)
(('3', '168', '168', '3', '168'), 92)
(('265', '265', '265', '265', '168'), 91)
(('265', '265', '265', '168', '265'), 90)
(('168', '3', '3', '168', '168'), 88)
(('168', '265', '3', '265', '168'), 88)
(('168', '3', '168', '168', '3'), 84)
(('265', '168', '265', '265', '265'), 83)
(('168', '168', '265', '3', '265'), 83)
(('168', '168', '3', '168', '3'), 82)
(('3', '265', '168', '265', '168'), 82)
(('168', '168', '3', '3', '168'), 82)
(('3', '168', '168', '168', '3'), 78)
(('3', '168', '265', '168', '265'), 77)
(('19', '3', '3', '3', '3'), 76)
(('3', '3', '3', '3', '19'), 76)
(('3', '3', '19', '3', '3'), 76)
(('3', '3', '3', '19', '3'), 75)
(('168', '3', '265', '168', '265'), 72)
(('3', '265', '168', '168', '265'), 71)
(('168', '265', '168', '265', '3'), 70)
(('168', '168', '168', '102', '168'), 69)
(('265', '265', '168', '265', '265'), 69)
(('3', '168', '168', '265', '265'), 68)
(('265', '168', '265', '168', '3'), 68)
(('265', '168', '265', '3', '265'), 68)
(('265', '168', '168', '3', '265'), 68)
(('168', '3', '265', '265', '168'), 67)
(('3', '19', '3', '3', '3'), 67)
(('265', '168', '265', '3', '168'), 67)
(('265', '3', '265', '168', '168'), 65)
(('265', '3', '3', '168', '168'), 65)
(('168', '265', '265', '3', '168'), 65)
(('168', '265', '3', '168', '265'), 64)
(('168', '168', '3', '265', '265'), 63)
(('265', '265', '3', '168', '168'), 63)
(('265', '168', '168', '265', '3'), 62)
