(('78', '78', '78'), 3877)
(('240', '240', '240'), 1547)
(('168', '168', '168'), 1417)
(('162', '162', '162'), 1253)
(('168', '265', '168'), 1003)
(('168', '168', '265'), 945)
(('265', '168', '168'), 927)
(('265', '168', '265'), 820)
(('265', '265', '265'), 808)
(('168', '265', '265'), 733)
(('265', '265', '168'), 703)
(('168', '3', '168'), 504)
(('240', '240', '78'), 501)
(('3', '168', '168'), 483)
(('78', '240', '240'), 478)
(('168', '265', '3'), 455)
(('3', '168', '265'), 447)
(('168', '168', '3'), 440)
(('265', '3', '168'), 439)
(('240', '78', '240'), 428)
(('265', '3', '265'), 423)
(('3', '265', '168'), 406)
(('162', '114', '162'), 392)
(('265', '265', '3'), 392)
(('114', '162', '162'), 386)
(('162', '162', '114'), 384)
(('265', '168', '3'), 380)
(('3', '78', '78'), 376)
(('168', '3', '265'), 362)
(('3', '265', '265'), 362)
(('3', '3', '3'), 356)
(('78', '78', '3'), 339)
(('78', '3', '78'), 336)
(('3', '168', '3'), 334)
(('3', '3', '168'), 292)
(('168', '3', '3'), 290)
(('3', '265', '3'), 288)
(('265', '3', '3'), 266)
(('3', '3', '265'), 265)
(('140', '78', '78'), 263)
(('78', '78', '140'), 262)
(('78', '140', '78'), 250)
(('265', '240', '240'), 245)
(('240', '78', '78'), 243)
(('102', '102', '102'), 238)
(('240', '265', '240'), 238)
(('54', '54', '54'), 229)
(('78', '78', '240'), 224)
(('240', '240', '265'), 222)
(('78', '240', '78'), 183)
(('174', '174', '174'), 129)
(('114', '162', '114'), 119)
(('114', '114', '162'), 114)
(('162', '114', '114'), 113)
(('240', '78', '265'), 104)
(('78', '265', '240'), 99)
(('78', '78', '195'), 98)
(('265', '78', '240'), 86)
(('78', '265', '78'), 84)
(('265', '240', '78'), 81)
(('195', '78', '78'), 79)
(('54', '309', '54'), 78)
(('54', '54', '309'), 77)
(('168', '265', '43'), 72)
(('3', '142', '3'), 71)
(('309', '54', '54'), 70)
(('78', '240', '265'), 70)
(('142', '142', '142'), 70)
(('240', '265', '78'), 68)
(('168', '146', '168'), 63)
(('142', '3', '3'), 58)
(('168', '168', '146'), 58)
(('142', '3', '142'), 58)
(('3', '3', '142'), 56)
(('43', '265', '168'), 56)
(('265', '43', '265'), 56)
(('265', '43', '3'), 55)
(('78', '78', '265'), 55)
(('146', '163', '146'), 55)
(('78', '195', '78'), 55)
(('142', '142', '265'), 54)
(('3', '265', '43'), 54)
(('265', '240', '265'), 54)
(('78', '78', '196'), 54)
(('140', '3', '78'), 53)
(('163', '146', '163'), 53)
(('78', '140', '3'), 52)
(('43', '265', '265'), 52)
(('146', '168', '168'), 49)
(('43', '3', '265'), 48)
(('78', '196', '78'), 48)
(('196', '78', '78'), 48)
(('78', '78', '125'), 48)
(('142', '265', '142'), 47)
(('168', '43', '265'), 47)
(('265', '168', '43'), 47)
(('265', '43', '168'), 47)
(('168', '168', '43'), 47)
(('219', '219', '219'), 45)
(('142', '142', '3'), 45)
(('125', '78', '78'), 45)
(('3', '142', '142'), 44)
(('265', '78', '265'), 44)
(('43', '3', '168'), 44)
(('265', '142', '142'), 43)
(('43', '168', '265'), 42)
(('3', '265', '142'), 42)
(('5', '3', '197'), 41)
(('3', '142', '265'), 41)
(('265', '265', '240'), 41)
(('168', '43', '168'), 40)
(('195', '195', '195'), 40)
(('102', '78', '78'), 40)
(('5', '5', '5'), 40)
(('240', '265', '265'), 40)
(('43', '168', '168'), 40)
(('265', '78', '78'), 40)
(('265', '265', '43'), 39)
(('192', '192', '6'), 39)
(('197', '192', '192'), 39)
(('78', '102', '102'), 39)
(('142', '265', '3'), 38)
(('142', '3', '265'), 38)
(('78', '3', '3'), 38)
(('3', '43', '3'), 37)
(('3', '197', '192'), 37)
(('102', '102', '78'), 37)
(('125', '125', '125'), 37)
(('33', '5', '3'), 36)
(('192', '6', '33'), 36)
(('78', '78', '102'), 36)
(('6', '33', '5'), 36)
(('168', '43', '3'), 35)
(('3', '3', '104'), 35)
(('3', '3', '78'), 35)
(('104', '3', '3'), 35)
(('265', '142', '3'), 35)
(('3', '78', '3'), 35)
(('265', '3', '43'), 34)
(('43', '3', '3'), 34)
(('3', '5', '5'), 33)
(('142', '265', '265'), 33)
(('175', '175', '175'), 33)
(('3', '43', '265'), 33)
(('146', '168', '265'), 32)
(('78', '78', '5'), 32)
(('43', '168', '3'), 32)
(('114', '114', '114'), 32)
(('104', '3', '142'), 32)
(('140', '78', '3'), 32)
(('3', '78', '140'), 31)
(('195', '195', '78'), 31)
(('43', '265', '3'), 31)
(('265', '3', '142'), 31)
(('168', '3', '43'), 31)
(('3', '104', '3'), 30)
(('3', '168', '43'), 30)
(('78', '125', '78'), 30)
(('168', '265', '146'), 30)
(('146', '142', '142'), 29)
(('146', '146', '146'), 28)
(('265', '142', '265'), 28)
(('265', '146', '168'), 28)
(('78', '78', '192'), 27)
(('78', '195', '195'), 27)
(('3', '54', '54'), 27)
(('265', '104', '3'), 26)
(('265', '168', '146'), 26)
(('168', '168', '102'), 26)
(('146', '3', '168'), 26)
(('3', '140', '78'), 26)
(('265', '265', '146'), 26)
(('142', '104', '3'), 26)
(('146', '265', '168'), 25)
(('265', '265', '102'), 25)
(('168', '102', '168'), 25)
(('142', '265', '104'), 25)
(('3', '3', '146'), 25)
(('102', '168', '168'), 25)
(('142', '146', '142'), 25)
(('3', '43', '168'), 24)
(('265', '265', '142'), 24)
(('5', '78', '78'), 24)
(('265', '146', '265'), 24)
(('5', '5', '3'), 24)
(('140', '78', '140'), 23)
(('3', '3', '5'), 23)
(('142', '175', '142'), 23)
(('5', '3', '5'), 23)
(('168', '146', '3'), 22)
(('3', '142', '104'), 22)
(('3', '3', '43'), 22)
(('142', '3', '175'), 21)
(('3', '146', '3'), 21)
(('78', '3', '140'), 21)
(('146', '168', '3'), 21)
(('168', '146', '265'), 20)
(('102', '168', '265'), 20)
(('265', '102', '168'), 20)
(('3', '175', '142'), 20)
(('192', '192', '192'), 20)
(('142', '104', '142'), 20)
(('175', '142', '142'), 20)
(('192', '78', '78'), 20)
(('146', '3', '142'), 20)
(('309', '54', '309'), 20)
(('265', '43', '43'), 19)
(('265', '265', '78'), 19)
(('140', '140', '78'), 19)
