(('78', '78', '78', '78', '78', '78', '78'), 1595)
(('162', '162', '162', '162', '162', '162', '162'), 405)
(('240', '240', '240', '240', '240', '240', '240'), 399)
(('168', '168', '168', '168', '168', '168', '168'), 153)
(('162', '162', '162', '114', '162', '162', '162'), 153)
(('3', '78', '78', '78', '78', '78', '78'), 151)
(('162', '162', '162', '162', '162', '114', '162'), 147)
(('162', '162', '162', '162', '114', '162', '162'), 146)
(('162', '162', '114', '162', '162', '162', '162'), 145)
(('78', '3', '78', '78', '78', '78', '78'), 144)
(('162', '114', '162', '162', '162', '162', '162'), 143)
(('78', '78', '3', '78', '78', '78', '78'), 138)
(('162', '162', '162', '162', '162', '162', '114'), 134)
(('78', '78', '78', '78', '3', '78', '78'), 134)
(('114', '162', '162', '162', '162', '162', '162'), 134)
(('78', '78', '78', '78', '78', '3', '78'), 128)
(('78', '78', '78', '3', '78', '78', '78'), 124)
(('78', '78', '78', '78', '78', '78', '3'), 122)
(('240', '240', '240', '240', '240', '240', '78'), 114)
(('78', '78', '78', '78', '78', '78', '140'), 102)
(('78', '240', '240', '240', '240', '240', '240'), 102)
(('240', '78', '240', '240', '240', '240', '240'), 101)
(('78', '78', '140', '78', '78', '78', '78'), 101)
(('78', '78', '78', '78', '78', '140', '78'), 98)
(('78', '78', '78', '78', '140', '78', '78'), 97)
(('240', '240', '240', '240', '240', '78', '240'), 96)
(('78', '78', '78', '140', '78', '78', '78'), 92)
(('78', '140', '78', '78', '78', '78', '78'), 92)
(('174', '174', '174', '174', '174', '174', '174'), 92)
(('140', '78', '78', '78', '78', '78', '78'), 89)
(('240', '240', '78', '240', '240', '240', '240'), 86)
(('240', '240', '240', '240', '78', '240', '240'), 84)
(('240', '240', '240', '78', '240', '240', '240'), 81)
(('168', '168', '168', '168', '168', '168', '265'), 81)
(('265', '168', '168', '168', '168', '168', '168'), 76)
(('102', '102', '102', '102', '102', '102', '102'), 73)
(('168', '265', '168', '168', '168', '168', '168'), 72)
(('168', '168', '168', '168', '168', '265', '168'), 66)
(('265', '265', '265', '265', '265', '265', '265'), 54)
(('168', '168', '265', '168', '168', '168', '168'), 54)
(('54', '54', '54', '54', '54', '54', '54'), 53)
(('168', '265', '168', '168', '265', '168', '168'), 53)
(('168', '168', '168', '168', '265', '168', '168'), 51)
(('168', '168', '168', '265', '168', '168', '168'), 50)
(('168', '168', '265', '168', '168', '265', '168'), 50)
(('265', '240', '240', '240', '240', '240', '240'), 50)
(('168', '168', '168', '168', '168', '265', '265'), 50)
(('168', '168', '168', '168', '265', '168', '265'), 45)
(('240', '240', '240', '240', '265', '240', '240'), 45)
(('240', '240', '240', '240', '240', '78', '78'), 45)
(('162', '162', '114', '162', '162', '162', '114'), 44)
(('240', '240', '240', '265', '240', '240', '240'), 44)
(('265', '168', '168', '265', '168', '168', '168'), 43)
(('240', '240', '265', '240', '240', '240', '240'), 43)
(('114', '162', '162', '162', '162', '162', '114'), 43)
(('162', '114', '162', '162', '162', '162', '114'), 43)
(('240', '265', '240', '240', '240', '240', '240'), 42)
(('168', '168', '265', '168', '168', '168', '265'), 42)
(('163', '146', '163', '146', '163', '146', '163'), 41)
(('146', '163', '146', '163', '146', '163', '146'), 41)
(('168', '265', '168', '265', '168', '168', '168'), 41)
(('114', '162', '114', '162', '162', '162', '162'), 41)
(('168', '168', '265', '168', '265', '168', '168'), 40)
(('265', '168', '265', '168', '168', '168', '168'), 40)
(('265', '265', '168', '168', '168', '168', '168'), 40)
(('162', '162', '114', '162', '114', '162', '162'), 40)
(('162', '162', '162', '114', '114', '162', '162'), 39)
(('162', '162', '162', '114', '162', '114', '162'), 39)
(('240', '240', '240', '240', '240', '240', '265'), 39)
(('219', '219', '219', '219', '219', '219', '219'), 39)
(('162', '114', '162', '162', '162', '114', '162'), 38)
(('240', '240', '240', '240', '240', '265', '240'), 38)
(('265', '168', '168', '168', '168', '168', '265'), 38)
(('168', '168', '168', '265', '168', '168', '265'), 38)
(('162', '162', '162', '162', '114', '162', '114'), 38)
(('78', '240', '240', '240', '240', '240', '78'), 38)
(('162', '114', '162', '114', '162', '162', '162'), 38)
(('162', '162', '162', '162', '114', '114', '162'), 37)
(('168', '168', '168', '265', '168', '265', '168'), 37)
(('168', '265', '168', '168', '168', '265', '168'), 37)
(('114', '162', '162', '162', '114', '162', '162'), 37)
(('168', '265', '168', '265', '168', '265', '168'), 37)
(('114', '162', '162', '114', '162', '162', '162'), 37)
(('114', '162', '162', '162', '162', '114', '162'), 37)
(('162', '162', '114', '114', '162', '162', '162'), 36)
(('6', '33', '5', '3', '197', '192', '192'), 36)
(('162', '114', '162', '162', '114', '162', '162'), 36)
(('192', '6', '33', '5', '3', '197', '192'), 36)
(('265', '168', '265', '168', '265', '168', '265'), 35)
(('78', '78', '240', '240', '240', '240', '240'), 35)
(('78', '240', '240', '78', '240', '240', '240'), 35)
(('240', '240', '240', '240', '78', '78', '240'), 34)
(('265', '168', '168', '168', '265', '168', '168'), 34)
(('162', '162', '114', '162', '162', '114', '162'), 34)
(('162', '114', '114', '162', '162', '162', '162'), 33)
(('114', '114', '162', '162', '162', '162', '162'), 32)
(('78', '78', '78', '78', '78', '78', '195'), 31)
(('240', '240', '78', '78', '240', '240', '240'), 31)
(('162', '162', '162', '114', '162', '162', '114'), 30)
(('162', '162', '162', '162', '162', '114', '114'), 30)
(('192', '192', '6', '33', '5', '3', '197'), 30)
(('168', '265', '265', '168', '168', '168', '168'), 30)
(('240', '240', '240', '78', '78', '240', '240'), 29)
(('265', '168', '168', '265', '168', '265', '168'), 29)
(('168', '168', '168', '168', '265', '265', '168'), 29)
(('168', '265', '168', '168', '265', '168', '265'), 29)
(('265', '265', '265', '265', '168', '168', '168'), 29)
(('240', '78', '240', '240', '78', '240', '240'), 29)
(('168', '265', '168', '168', '168', '168', '265'), 29)
(('240', '78', '78', '240', '240', '240', '240'), 28)
(('240', '240', '78', '240', '240', '240', '78'), 28)
(('168', '168', '168', '265', '265', '168', '265'), 28)
(('265', '265', '265', '168', '168', '168', '168'), 28)
(('78', '78', '78', '78', '78', '78', '196'), 27)
(('168', '168', '168', '168', '265', '265', '265'), 27)
(('265', '168', '265', '168', '168', '265', '168'), 27)
(('168', '265', '168', '265', '265', '168', '168'), 27)
(('265', '168', '168', '168', '168', '265', '168'), 27)
(('240', '240', '78', '240', '78', '240', '240'), 27)
(('78', '240', '240', '240', '78', '240', '240'), 27)
(('240', '240', '240', '78', '240', '240', '78'), 27)
(('140', '3', '78', '78', '78', '78', '78'), 27)
(('240', '78', '240', '240', '240', '78', '240'), 27)
(('265', '168', '168', '168', '265', '168', '265'), 26)
(('265', '168', '265', '168', '265', '265', '168'), 26)
(('240', '240', '240', '240', '78', '240', '78'), 26)
(('240', '78', '240', '78', '240', '240', '240'), 26)
(('240', '240', '78', '240', '240', '78', '240'), 25)
(('168', '168', '168', '265', '265', '168', '168'), 25)
(('240', '240', '240', '240', '240', '78', '265'), 25)
(('168', '168', '168', '265', '168', '265', '265'), 25)
(('195', '78', '78', '78', '78', '78', '78'), 25)
(('168', '168', '265', '265', '168', '168', '168'), 24)
(('265', '265', '168', '168', '265', '168', '265'), 24)
(('168', '168', '265', '168', '265', '265', '265'), 24)
(('168', '168', '168', '265', '265', '265', '265'), 23)
(('168', '168', '265', '265', '168', '265', '265'), 23)
(('240', '78', '78', '78', '78', '78', '78'), 23)
(('168', '265', '168', '265', '265', '168', '265'), 23)
(('168', '168', '265', '265', '265', '265', '168'), 23)
(('168', '265', '265', '168', '265', '168', '168'), 23)
(('3', '78', '78', '3', '78', '78', '78'), 23)
(('168', '265', '265', '265', '265', '168', '168'), 23)
(('168', '168', '265', '168', '265', '265', '168'), 23)
(('265', '168', '265', '168', '265', '168', '168'), 22)
(('78', '240', '78', '240', '240', '240', '240'), 22)
(('265', '265', '168', '168', '168', '265', '168'), 22)
(('240', '240', '240', '78', '240', '78', '240'), 22)
(('265', '168', '168', '168', '265', '265', '168'), 22)
