(('168', '168', '168'), 2180)
(('168', '168', '265'), 894)
(('168', '265', '168'), 856)
(('265', '168', '168'), 841)
(('78', '78', '142'), 556)
(('78', '142', '78'), 538)
(('3', '168', '168'), 486)
(('168', '3', '168'), 469)
(('168', '168', '3'), 439)
(('265', '168', '265'), 437)
(('3', '3', '3'), 435)
(('142', '78', '102'), 425)
(('265', '265', '168'), 390)
(('168', '265', '265'), 377)
(('78', '13', '13'), 344)
(('168', '265', '3'), 323)
(('3', '168', '265'), 267)
(('265', '265', '265'), 267)
(('3', '265', '168'), 256)
(('4', '78', '13'), 247)
(('265', '3', '168'), 246)
(('78', '102', '78'), 240)
(('102', '78', '78'), 234)
(('13', '4', '78'), 229)
(('13', '13', '78'), 223)
(('13', '78', '13'), 222)
(('265', '3', '265'), 217)
(('265', '168', '3'), 217)
(('240', '240', '13'), 204)
(('168', '3', '265'), 189)
(('3', '3', '168'), 189)
(('240', '13', '4'), 186)
(('142', '142', '142'), 184)
(('168', '3', '3'), 178)
(('192', '192', '6'), 172)
(('3', '168', '3'), 165)
(('5', '3', '197'), 159)
(('3', '197', '192'), 157)
(('197', '192', '192'), 154)
(('3', '265', '265'), 148)
(('174', '174', '174'), 147)
(('78', '78', '78'), 144)
(('3', '3', '265'), 141)
(('102', '102', '102'), 139)
(('5', '197', '192'), 138)
(('78', '146', '78'), 136)
(('3', '265', '3'), 136)
(('265', '3', '3'), 135)
(('13', '13', '4'), 134)
(('146', '78', '78'), 133)
(('142', '78', '146'), 124)
(('265', '265', '3'), 123)
(('240', '240', '240'), 122)
(('142', '142', '78'), 120)
(('85', '195', '85'), 116)
(('142', '78', '78'), 115)
(('265', '265', '240'), 115)
(('78', '142', '142'), 114)
(('192', '6', '125'), 113)
(('192', '6', '33'), 112)
(('6', '33', '5'), 112)
(('125', '125', '125'), 111)
(('265', '240', '240'), 104)
(('142', '78', '142'), 104)
(('13', '78', '78'), 102)
(('13', '265', '265'), 102)
(('78', '13', '265'), 100)
(('3', '6', '91'), 96)
(('33', '5', '3'), 94)
(('102', '13', '78'), 91)
(('197', '192', '3'), 91)
(('78', '102', '13'), 88)
(('168', '265', '43'), 86)
(('195', '85', '195'), 86)
(('265', '43', '3'), 84)
(('265', '142', '265'), 84)
(('102', '309', '102'), 83)
(('4', '240', '240'), 74)
(('309', '102', '27'), 73)
(('102', '142', '78'), 73)
(('78', '102', '142'), 72)
(('265', '142', '142'), 68)
(('3', '3', '6'), 68)
(('142', '265', '142'), 67)
(('43', '3', '265'), 66)
(('102', '102', '309'), 66)
(('265', '265', '142'), 66)
(('3', '265', '43'), 66)
(('142', '142', '265'), 64)
(('192', '192', '192'), 64)
(('195', '5', '197'), 64)
(('3', '5', '3'), 64)
(('142', '102', '142'), 62)
(('265', '43', '168'), 62)
(('5', '102', '102'), 61)
(('13', '240', '240'), 61)
(('5', '5', '5'), 59)
(('195', '78', '78'), 59)
(('6', '125', '125'), 59)
(('192', '6', '5'), 57)
(('142', '3', '142'), 55)
(('142', '142', '102'), 54)
(('102', '27', '85'), 53)
(('142', '3', '3'), 52)
(('5', '192', '6'), 52)
