(('168', '168', '168', '168', '168', '168', '168'), 381)
(('13', '4', '78', '13', '13', '78', '13'), 197)
(('142', '78', '102', '78', '78', '142', '78'), 186)
(('78', '142', '78', '102', '78', '78', '142'), 178)
(('78', '78', '142', '78', '102', '78', '78'), 177)
(('3', '3', '3', '3', '3', '3', '3'), 139)
(('265', '168', '168', '168', '168', '168', '168'), 135)
(('168', '168', '168', '168', '168', '168', '265'), 131)
(('168', '168', '168', '168', '168', '265', '168'), 122)
(('168', '168', '265', '168', '168', '168', '168'), 120)
(('78', '102', '78', '78', '142', '78', '102'), 118)
(('168', '265', '168', '168', '168', '168', '168'), 115)
(('168', '168', '168', '265', '168', '168', '168'), 114)
(('168', '168', '168', '168', '265', '168', '168'), 114)
(('4', '78', '13', '13', '78', '13', '13'), 110)
(('78', '13', '13', '78', '13', '13', '4'), 108)
(('174', '174', '174', '174', '174', '174', '174'), 107)
(('240', '240', '13', '4', '78', '13', '13'), 105)
(('240', '13', '4', '78', '13', '13', '78'), 104)
(('13', '13', '78', '13', '13', '4', '78'), 101)
(('78', '78', '142', '78', '146', '78', '78'), 98)
(('13', '78', '13', '13', '4', '78', '13'), 97)
(('4', '78', '13', '13', '78', '13', '265'), 96)
(('78', '13', '13', '4', '78', '13', '13'), 95)
(('78', '13', '13', '78', '13', '265', '265'), 94)
(('13', '13', '4', '78', '13', '13', '78'), 94)
(('6', '33', '5', '3', '197', '192', '192'), 86)
(('192', '6', '33', '5', '3', '197', '192'), 85)
(('78', '142', '78', '146', '78', '78', '142'), 83)
(('78', '102', '13', '78', '78', '142', '78'), 82)
(('142', '78', '102', '13', '78', '78', '142'), 82)
(('102', '13', '78', '78', '142', '78', '102'), 80)
(('13', '13', '78', '13', '265', '265', '240'), 80)
(('78', '146', '78', '78', '142', '78', '102'), 78)
(('142', '78', '146', '78', '78', '142', '78'), 78)
(('13', '78', '78', '142', '78', '102', '78'), 68)
(('102', '78', '78', '142', '78', '102', '78'), 68)
(('78', '102', '78', '78', '142', '78', '146'), 64)
(('13', '78', '13', '265', '265', '240', '240'), 64)
(('102', '78', '78', '142', '78', '146', '78'), 64)
(('5', '3', '197', '192', '192', '192', '6'), 59)
(('265', '265', '168', '168', '168', '168', '168'), 54)
(('192', '192', '6', '33', '5', '3', '197'), 53)
(('78', '13', '265', '265', '240', '240', '13'), 53)
(('168', '168', '168', '168', '265', '168', '265'), 52)
(('168', '3', '168', '168', '168', '168', '168'), 52)
(('33', '5', '3', '197', '192', '192', '6'), 51)
(('13', '265', '265', '240', '240', '13', '4'), 51)
(('265', '240', '240', '13', '4', '78', '13'), 50)
(('265', '265', '240', '240', '13', '4', '78'), 49)
(('168', '265', '265', '168', '168', '168', '168'), 48)
(('5', '3', '197', '192', '192', '6', '125'), 47)
(('168', '168', '168', '168', '168', '265', '265'), 47)
(('168', '168', '168', '3', '168', '168', '168'), 45)
(('168', '168', '3', '168', '168', '168', '168'), 44)
(('102', '78', '78', '142', '78', '102', '195'), 43)
(('5', '197', '192', '3', '3', '6', '91'), 43)
(('78', '78', '142', '78', '102', '195', '78'), 43)
(('168', '168', '168', '265', '168', '265', '168'), 43)
(('78', '142', '78', '102', '13', '78', '78'), 43)
(('146', '78', '78', '142', '78', '102', '78'), 42)
(('78', '142', '78', '102', '195', '78', '78'), 42)
