(('168', '168', '168'), 2295)
(('54', '54', '54'), 1465)
(('162', '162', '162'), 1410)
(('168', '265', '168'), 990)
(('265', '168', '168'), 938)
(('168', '168', '265'), 920)
(('168', '3', '168'), 588)
(('168', '168', '3'), 552)
(('3', '168', '168'), 532)
(('54', '309', '54'), 504)
(('54', '54', '309'), 503)
(('265', '168', '265'), 486)
(('309', '54', '54'), 447)
(('168', '265', '265'), 445)
(('265', '265', '168'), 438)
(('162', '114', '162'), 389)
(('114', '162', '162'), 378)
(('162', '162', '114'), 374)
(('3', '168', '265'), 318)
(('168', '265', '3'), 291)
(('265', '3', '168'), 282)
(('3', '265', '168'), 277)
(('265', '168', '3'), 263)
(('168', '3', '265'), 256)
(('265', '265', '265'), 251)
(('3', '168', '3'), 224)
(('3', '3', '168'), 218)
(('168', '3', '3'), 203)
(('3', '3', '3'), 197)
(('265', '3', '265'), 184)
(('265', '265', '3'), 169)
(('174', '174', '174'), 162)
(('265', '3', '3'), 160)
(('3', '265', '3'), 156)
(('3', '265', '265'), 150)
(('309', '54', '309'), 145)
(('3', '54', '54'), 143)
(('3', '3', '265'), 142)
(('142', '142', '142'), 135)
(('54', '309', '309'), 106)
(('114', '162', '114'), 106)
(('54', '3', '54'), 101)
(('114', '114', '162'), 96)
(('162', '114', '114'), 93)
(('54', '54', '3'), 91)
(('309', '309', '54'), 91)
(('309', '3', '54'), 75)
(('168', '146', '168'), 72)
(('142', '142', '3'), 72)
(('54', '309', '3'), 66)
(('175', '175', '175'), 65)
(('265', '142', '142'), 65)
(('142', '142', '265'), 62)
(('3', '142', '142'), 62)
(('43', '168', '168'), 61)
(('142', '3', '3'), 59)
(('142', '265', '142'), 58)
(('3', '142', '3'), 58)
(('168', '168', '146'), 56)
(('142', '146', '142'), 55)
(('142', '3', '142'), 55)
(('3', '3', '142'), 54)
(('146', '168', '168'), 54)
(('168', '265', '43'), 53)
(('168', '43', '168'), 48)
(('142', '265', '3'), 48)
(('146', '142', '142'), 47)
(('265', '168', '146'), 47)
(('142', '142', '146'), 46)
(('3', '265', '142'), 46)
(('168', '168', '43'), 46)
(('142', '175', '142'), 44)
(('265', '142', '265'), 43)
(('309', '309', '309'), 43)
(('142', '265', '265'), 41)
(('142', '3', '265'), 41)
(('265', '43', '168'), 40)
(('175', '142', '142'), 40)
(('197', '192', '192'), 39)
(('43', '168', '265'), 39)
(('168', '168', '102'), 38)
(('265', '3', '142'), 38)
(('192', '192', '6'), 38)
(('168', '102', '168'), 36)
(('102', '168', '168'), 36)
(('5', '5', '5'), 35)
(('6', '33', '5'), 35)
(('33', '5', '3'), 35)
(('192', '6', '33'), 35)
(('3', '197', '192'), 35)
(('5', '3', '197'), 35)
(('125', '125', '125'), 35)
(('168', '146', '3'), 35)
(('142', '142', '175'), 34)
(('146', '168', '265'), 33)
(('265', '265', '142'), 31)
(('3', '142', '265'), 31)
(('43', '265', '168'), 31)
(('3', '54', '309'), 31)
(('104', '3', '3'), 30)
(('168', '146', '265'), 30)
(('146', '3', '168'), 30)
(('43', '3', '265'), 30)
(('265', '168', '43'), 29)
(('265', '142', '3'), 29)
(('43', '168', '3'), 28)
(('3', '43', '168'), 28)
(('3', '104', '3'), 27)
(('3', '168', '146'), 27)
(('168', '43', '265'), 27)
(('142', '146', '265'), 26)
(('265', '146', '168'), 26)
(('265', '43', '265'), 26)
(('3', '3', '104'), 25)
(('3', '146', '3'), 25)
(('3', '3', '175'), 25)
(('265', '265', '146'), 24)
(('142', '3', '104'), 24)
(('142', '119', '142'), 24)
(('3', '265', '43'), 23)
(('146', '265', '168'), 23)
(('43', '43', '168'), 23)
(('265', '43', '3'), 23)
(('146', '3', '265'), 23)
(('168', '43', '3'), 23)
(('43', '265', '3'), 23)
(('146', '265', '265'), 23)
(('168', '3', '43'), 23)
(('3', '3', '146'), 23)
(('265', '104', '3'), 23)
(('146', '3', '3'), 23)
(('142', '104', '142'), 22)
(('3', '168', '43'), 22)
(('3', '175', '175'), 22)
(('142', '265', '146'), 22)
(('146', '168', '3'), 22)
(('114', '114', '114'), 22)
(('265', '146', '3'), 22)
(('265', '142', '146'), 21)
(('265', '3', '146'), 21)
(('309', '54', '3'), 21)
(('3', '142', '146'), 21)
(('168', '265', '146'), 21)
(('175', '142', '265'), 21)
(('175', '175', '142'), 20)
(('146', '142', '3'), 20)
(('309', '309', '3'), 20)
(('146', '265', '3'), 20)
(('3', '265', '146'), 20)
(('146', '265', '142'), 20)
(('3', '142', '175'), 20)
(('265', '146', '142'), 20)
(('3', '104', '142'), 20)
(('146', '3', '142'), 20)
(('3', '146', '265'), 19)
(('168', '265', '102'), 19)
(('265', '102', '168'), 19)
(('168', '43', '43'), 19)
(('146', '142', '146'), 19)
(('142', '104', '3'), 19)
(('142', '146', '3'), 19)
(('265', '265', '43'), 18)
(('3', '309', '54'), 18)
(('43', '3', '3'), 18)
(('104', '3', '142'), 18)
(('265', '3', '43'), 18)
(('265', '146', '265'), 18)
(('104', '142', '142'), 18)
(('5', '5', '3'), 18)
(('104', '142', '3'), 18)
(('142', '142', '119'), 18)
(('119', '142', '142'), 18)
(('142', '142', '104'), 17)
(('3', '3', '43'), 17)
(('3', '43', '3'), 17)
(('5', '197', '192'), 17)
(('102', '168', '265'), 17)
(('3', '146', '168'), 17)
(('175', '142', '175'), 17)
(('175', '3', '142'), 16)
(('104', '142', '265'), 16)
(('265', '104', '142'), 16)
(('265', '142', '175'), 16)
(('3', '175', '142'), 16)
(('168', '3', '146'), 16)
(('3', '142', '104'), 16)
(('192', '192', '192'), 15)
(('3', '104', '265'), 15)
(('19', '19', '19'), 15)
(('43', '3', '168'), 15)
(('3', '5', '5'), 15)
(('146', '142', '265'), 15)
(('43', '265', '265'), 15)
(('142', '3', '175'), 14)
(('54', '3', '309'), 14)
(('104', '265', '142'), 14)
(('146', '146', '3'), 14)
(('142', '146', '146'), 14)
(('142', '265', '104'), 14)
(('142', '175', '146'), 14)
(('43', '168', '43'), 14)
(('142', '175', '175'), 14)
(('142', '3', '146'), 14)
(('146', '265', '146'), 13)
(('104', '3', '175'), 13)
(('3', '43', '265'), 13)
(('3', '146', '142'), 13)
(('146', '3', '146'), 13)
(('146', '175', '142'), 12)
(('5', '3', '5'), 12)
(('104', '3', '265'), 12)
(('3', '175', '3'), 12)
(('265', '43', '43'), 12)
(('175', '142', '146'), 12)
(('142', '175', '3'), 11)
(('175', '142', '3'), 11)
(('3', '265', '104'), 11)
(('175', '175', '3'), 11)
(('104', '3', '104'), 11)
(('168', '102', '265'), 11)
(('265', '175', '142'), 11)
(('104', '142', '175'), 11)
(('104', '265', '3'), 11)
(('146', '142', '175'), 11)
(('146', '146', '142'), 11)
(('265', '146', '146'), 11)
(('3', '3', '6'), 11)
(('175', '146', '142'), 11)
(('5', '5', '6'), 11)
(('265', '3', '104'), 11)
(('91', '5', '5'), 11)
(('54', '240', '54'), 11)
(('119', '142', '265'), 10)
(('146', '168', '146'), 10)
(('168', '168', '340'), 10)
(('3', '5', '3'), 10)
(('3', '6', '91'), 10)
(('142', '175', '265'), 10)
(('240', '54', '54'), 10)
(('175', '104', '3'), 10)
(('3', '175', '104'), 10)
(('119', '265', '142'), 10)
(('3', '104', '175'), 10)
(('142', '265', '119'), 10)
(('5', '3', '3'), 9)
(('91', '3', '5'), 9)
(('175', '142', '104'), 9)
(('142', '119', '146'), 9)
(('142', '265', '175'), 9)
(('175', '175', '265'), 9)
(('142', '119', '265'), 9)
(('175', '3', '3'), 9)
(('142', '175', '119'), 9)
(('102', '265', '168'), 9)
(('175', '265', '142'), 9)
(('309', '3', '309'), 9)
(('146', '142', '119'), 9)
(('168', '340', '168'), 9)
(('175', '119', '265'), 9)
(('5', '6', '5'), 9)
(('6', '5', '5'), 9)
(('119', '3', '142'), 9)
(('104', '175', '142'), 9)
(('168', '3', '78'), 9)
(('265', '119', '142'), 9)
(('146', '265', '104'), 8)
(('168', '168', '78'), 8)
(('5', '91', '3'), 8)
(('43', '43', '265'), 8)
(('265', '104', '265'), 8)
(('142', '146', '104'), 8)
(('175', '104', '142'), 8)
(('3', '78', '168'), 8)
(('3', '265', '175'), 8)
(('146', '146', '265'), 8)
(('78', '168', '168'), 8)
(('265', '265', '104'), 8)
(('78', '265', '168'), 8)
(('104', '142', '146'), 8)
(('54', '54', '240'), 8)
(('146', '146', '146'), 8)
(('265', '142', '104'), 8)
(('3', '104', '104'), 8)
(('3', '3', '5'), 8)
(('3', '54', '3'), 8)
(('142', '175', '104'), 8)
(('142', '104', '146'), 7)
(('3', '146', '104'), 7)
(('265', '175', '175'), 7)
(('146', '175', '175'), 7)
(('104', '175', '3'), 7)
(('104', '142', '104'), 7)
(('168', '78', '168'), 7)
(('43', '43', '3'), 7)
(('6', '91', '5'), 7)
(('265', '146', '175'), 7)
(('3', '168', '4'), 7)
(('142', '104', '265'), 7)
(('146', '265', '175'), 7)
(('175', '175', '104'), 7)
(('175', '142', '119'), 7)
(('3', '43', '43'), 7)
(('192', '3', '3'), 7)
