(('162', '162', '162', '162', '162', '162', '162'), 555)
(('168', '168', '168', '168', '168', '168', '168'), 422)
(('54', '54', '54', '54', '54', '54', '54'), 360)
(('54', '54', '54', '309', '54', '54', '54'), 164)
(('162', '162', '114', '162', '162', '162', '162'), 157)
(('162', '162', '162', '162', '114', '162', '162'), 155)
(('54', '54', '309', '54', '54', '54', '54'), 151)
(('162', '114', '162', '162', '162', '162', '162'), 149)
(('162', '162', '162', '114', '162', '162', '162'), 147)
(('54', '54', '54', '54', '309', '54', '54'), 145)
(('114', '162', '162', '162', '162', '162', '162'), 141)
(('162', '162', '162', '162', '162', '114', '162'), 140)
(('162', '162', '162', '162', '162', '162', '114'), 137)
(('168', '168', '168', '168', '168', '168', '265'), 135)
(('54', '309', '54', '54', '54', '54', '54'), 129)
(('54', '54', '54', '54', '54', '309', '54'), 129)
(('54', '54', '54', '54', '54', '54', '309'), 123)
(('265', '168', '168', '168', '168', '168', '168'), 121)
(('309', '54', '54', '54', '54', '54', '54'), 120)
(('174', '174', '174', '174', '174', '174', '174'), 120)
(('168', '168', '168', '168', '265', '168', '168'), 109)
(('168', '265', '168', '168', '168', '168', '168'), 108)
(('168', '168', '168', '168', '168', '265', '168'), 102)
(('168', '168', '265', '168', '168', '168', '168'), 99)
(('168', '168', '168', '265', '168', '168', '168'), 97)
(('3', '168', '168', '168', '168', '168', '168'), 62)
(('54', '309', '54', '54', '54', '54', '309'), 58)
(('309', '54', '54', '54', '54', '309', '54'), 55)
(('168', '3', '168', '168', '168', '168', '168'), 55)
(('168', '168', '168', '168', '168', '3', '168'), 54)
(('168', '168', '168', '168', '168', '168', '3'), 54)
(('162', '114', '162', '162', '162', '162', '114'), 52)
(('54', '309', '54', '54', '54', '309', '54'), 51)
(('168', '265', '168', '168', '168', '265', '168'), 49)
(('114', '162', '162', '162', '162', '114', '162'), 49)
(('54', '54', '309', '54', '54', '54', '309'), 48)
(('168', '265', '168', '168', '265', '168', '168'), 48)
(('168', '265', '265', '168', '168', '168', '168'), 48)
(('168', '265', '168', '265', '168', '168', '168'), 48)
(('168', '168', '168', '168', '168', '265', '265'), 48)
(('265', '168', '265', '168', '168', '168', '168'), 47)
(('54', '54', '309', '54', '309', '54', '54'), 47)
(('265', '168', '168', '265', '168', '168', '168'), 46)
(('168', '168', '265', '168', '168', '168', '265'), 45)
(('265', '265', '168', '168', '168', '168', '168'), 45)
(('309', '54', '54', '54', '309', '54', '54'), 45)
(('114', '162', '162', '114', '162', '162', '162'), 44)
(('54', '54', '54', '309', '54', '309', '54'), 44)
(('54', '309', '54', '309', '54', '54', '54'), 44)
(('168', '168', '265', '265', '168', '168', '168'), 44)
(('54', '54', '54', '54', '309', '54', '309'), 44)
(('168', '168', '265', '168', '265', '168', '168'), 44)
(('54', '309', '54', '54', '309', '54', '54'), 43)
(('168', '168', '168', '168', '265', '265', '168'), 43)
(('162', '162', '114', '162', '114', '162', '162'), 43)
(('114', '162', '114', '162', '162', '162', '162'), 43)
(('162', '162', '114', '162', '162', '114', '162'), 43)
(('265', '168', '168', '168', '168', '265', '168'), 42)
(('168', '168', '168', '265', '265', '168', '168'), 42)
(('168', '168', '168', '265', '168', '265', '168'), 42)
(('162', '114', '162', '162', '114', '162', '162'), 41)
(('168', '168', '265', '168', '168', '265', '168'), 41)
(('162', '114', '162', '114', '162', '162', '162'), 41)
(('162', '162', '162', '162', '114', '114', '162'), 40)
(('162', '162', '162', '114', '162', '114', '162'), 40)
(('168', '265', '168', '168', '168', '168', '265'), 40)
(('54', '54', '309', '54', '54', '309', '54'), 40)
(('168', '168', '168', '168', '3', '168', '168'), 40)
(('168', '168', '168', '3', '168', '168', '168'), 39)
(('168', '168', '168', '265', '168', '168', '265'), 39)
(('162', '162', '162', '114', '162', '162', '114'), 39)
(('54', '54', '54', '309', '54', '54', '309'), 39)
(('162', '162', '162', '114', '114', '162', '162'), 38)
(('168', '168', '3', '168', '168', '168', '168'), 37)
