(('195', '195', '195', '195', '195', '195', '195'), 368)
(('174', '174', '174', '174', '174', '174', '174'), 140)
(('3', '3', '3', '3', '3', '3', '3'), 116)
(('168', '168', '168', '168', '168', '168', '168'), 113)
(('265', '265', '265', '265', '265', '265', '265'), 63)
(('265', '168', '168', '168', '168', '168', '168'), 59)
(('168', '168', '265', '168', '168', '168', '168'), 57)
(('168', '265', '168', '168', '168', '168', '168'), 56)
(('168', '168', '168', '168', '168', '168', '265'), 56)
(('168', '168', '168', '168', '265', '168', '168'), 56)
(('6', '33', '5', '3', '197', '192', '192'), 49)
(('168', '168', '168', '265', '168', '168', '168'), 49)
(('192', '6', '33', '5', '3', '197', '192'), 49)
(('265', '168', '168', '168', '168', '265', '168'), 49)
(('168', '168', '168', '168', '168', '265', '168'), 47)
(('168', '168', '265', '265', '168', '168', '168'), 47)
(('192', '192', '6', '33', '5', '3', '197'), 42)
(('168', '168', '168', '168', '265', '168', '265'), 41)
(('168', '265', '168', '168', '168', '168', '265'), 41)
(('168', '168', '168', '168', '168', '265', '265'), 41)
(('3', '19', '3', '3', '19', '3', '3'), 39)
(('168', '265', '168', '265', '168', '168', '168'), 39)
(('168', '265', '265', '168', '168', '168', '168'), 39)
(('168', '168', '168', '168', '265', '265', '168'), 39)
(('265', '265', '168', '168', '168', '168', '168'), 39)
(('3', '3', '3', '3', '3', '19', '3'), 38)
(('3', '3', '3', '3', '19', '3', '3'), 37)
(('19', '3', '3', '3', '3', '3', '3'), 37)
(('168', '168', '168', '265', '168', '265', '168'), 36)
(('168', '265', '168', '168', '168', '265', '168'), 36)
(('3', '3', '19', '3', '3', '19', '3'), 36)
(('3', '3', '3', '3', '3', '3', '19'), 36)
(('168', '168', '168', '265', '265', '168', '168'), 35)
(('78', '78', '78', '78', '78', '78', '78'), 35)
(('265', '168', '168', '168', '168', '168', '265'), 35)
(('168', '265', '265', '168', '168', '168', '265'), 35)
(('168', '265', '168', '265', '168', '265', '168'), 34)
(('3', '19', '3', '3', '3', '3', '3'), 34)
(('3', '3', '3', '19', '3', '3', '19'), 33)
(('168', '168', '168', '265', '265', '168', '265'), 32)
(('168', '168', '265', '168', '265', '168', '168'), 32)
(('3', '3', '3', '19', '3', '3', '3'), 32)
(('3', '3', '19', '3', '3', '3', '3'), 32)
(('265', '168', '265', '168', '265', '168', '168'), 31)
(('265', '168', '168', '168', '265', '168', '168'), 31)
(('265', '168', '265', '168', '168', '168', '168'), 31)
(('265', '168', '168', '265', '168', '168', '168'), 30)
(('168', '168', '168', '265', '168', '168', '265'), 30)
(('265', '168', '265', '168', '168', '168', '265'), 30)
(('168', '168', '265', '168', '168', '265', '168'), 30)
(('265', '265', '168', '168', '168', '168', '265'), 29)
(('3', '3', '3', '19', '19', '3', '3'), 29)
(('19', '3', '3', '3', '19', '3', '3'), 28)
(('33', '5', '3', '197', '192', '192', '6'), 28)
(('3', '3', '3', '3', '19', '19', '3'), 28)
(('19', '3', '3', '19', '3', '3', '19'), 28)
(('168', '168', '265', '168', '265', '265', '168'), 28)
(('168', '168', '265', '265', '168', '265', '265'), 27)
(('265', '168', '265', '168', '265', '168', '265'), 27)
(('265', '168', '168', '168', '265', '265', '168'), 27)
(('168', '265', '168', '168', '265', '168', '168'), 27)
(('19', '19', '3', '3', '3', '3', '3'), 27)
(('265', '168', '168', '265', '265', '168', '168'), 27)
(('19', '3', '19', '3', '3', '3', '3'), 27)
(('168', '168', '168', '265', '265', '265', '168'), 26)
(('168', '265', '265', '168', '265', '265', '168'), 26)
(('168', '168', '168', '168', '265', '265', '265'), 26)
(('265', '168', '265', '265', '168', '168', '168'), 26)
(('3', '3', '19', '19', '3', '3', '3'), 26)
(('3', '3', '19', '3', '3', '19', '19'), 25)
(('19', '3', '3', '3', '3', '3', '19'), 25)
(('168', '265', '168', '168', '265', '265', '168'), 25)
(('19', '3', '3', '19', '3', '3', '3'), 25)
(('265', '168', '168', '168', '168', '265', '265'), 25)
(('168', '265', '168', '265', '265', '168', '168'), 25)
(('168', '168', '265', '168', '168', '168', '265'), 25)
(('3', '3', '19', '3', '3', '3', '19'), 25)
(('3', '19', '3', '19', '3', '3', '3'), 25)
(('3', '19', '3', '3', '3', '3', '19'), 25)
(('168', '168', '168', '265', '168', '265', '265'), 24)
(('265', '168', '265', '168', '168', '265', '265'), 24)
(('265', '265', '168', '168', '168', '265', '265'), 24)
(('265', '265', '265', '265', '265', '168', '168'), 23)
(('3', '19', '3', '3', '3', '19', '3'), 23)
(('265', '265', '168', '168', '265', '168', '168'), 23)
(('265', '168', '168', '168', '265', '168', '265'), 23)
(('3', '3', '3', '3', '3', '19', '19'), 23)
(('265', '265', '168', '265', '168', '168', '168'), 23)
(('3', '3', '3', '3', '19', '3', '19'), 23)
(('265', '265', '265', '168', '168', '168', '168'), 23)
(('168', '265', '168', '265', '168', '168', '265'), 23)
(('168', '265', '168', '168', '265', '168', '265'), 23)
(('168', '168', '265', '265', '168', '265', '168'), 23)
(('265', '265', '265', '265', '265', '265', '168'), 23)
(('3', '19', '19', '3', '3', '3', '3'), 23)
(('168', '265', '265', '265', '265', '265', '265'), 23)
(('265', '265', '265', '168', '265', '168', '168'), 22)
(('175', '175', '175', '175', '175', '175', '175'), 22)
(('265', '265', '168', '265', '265', '265', '265'), 21)
(('3', '19', '3', '3', '3', '19', '19'), 21)
(('33', '5', '3', '197', '192', '192', '192'), 21)
(('125', '125', '125', '125', '125', '125', '125'), 21)
(('265', '168', '168', '265', '168', '265', '168'), 21)
(('265', '168', '265', '168', '168', '265', '168'), 21)
(('197', '192', '192', '6', '33', '5', '3'), 21)
(('168', '168', '265', '168', '265', '168', '265'), 21)
(('192', '192', '192', '6', '33', '5', '3'), 21)
(('197', '192', '192', '192', '6', '33', '5'), 21)
(('19', '19', '3', '19', '3', '3', '3'), 21)
(('5', '3', '197', '192', '192', '192', '6'), 21)
(('168', '265', '265', '168', '168', '265', '168'), 21)
(('19', '3', '3', '3', '3', '19', '3'), 21)
(('3', '197', '192', '192', '192', '6', '33'), 21)
(('3', '3', '19', '3', '19', '3', '3'), 21)
(('3', '197', '192', '192', '6', '33', '5'), 21)
(('265', '265', '168', '265', '168', '265', '168'), 21)
(('5', '3', '197', '192', '192', '6', '33'), 21)
(('265', '265', '265', '265', '168', '265', '265'), 21)
(('265', '168', '265', '265', '265', '265', '168'), 20)
(('265', '265', '168', '265', '168', '168', '265'), 20)
(('265', '168', '265', '168', '265', '265', '265'), 20)
(('265', '265', '168', '168', '168', '265', '168'), 20)
(('265', '265', '265', '168', '265', '168', '265'), 20)
(('265', '168', '265', '265', '168', '265', '265'), 20)
(('3', '3', '3', '19', '3', '19', '19'), 20)
(('168', '168', '265', '168', '265', '265', '265'), 20)
(('168', '265', '168', '168', '168', '265', '265'), 20)
(('265', '265', '168', '265', '265', '168', '168'), 20)
(('19', '19', '3', '3', '3', '19', '3'), 19)
(('19', '3', '19', '3', '3', '3', '19'), 19)
(('19', '3', '19', '3', '3', '19', '3'), 19)
(('3', '3', '19', '3', '19', '19', '3'), 19)
(('265', '168', '168', '265', '168', '265', '265'), 19)
(('168', '265', '265', '265', '265', '168', '265'), 19)
(('3', '3', '19', '19', '19', '3', '3'), 19)
(('3', '19', '19', '3', '3', '3', '19'), 19)
(('168', '265', '168', '265', '265', '265', '168'), 19)
(('168', '265', '265', '265', '168', '265', '168'), 19)
(('265', '265', '265', '265', '265', '168', '265'), 19)
(('168', '265', '265', '168', '265', '168', '168'), 19)
(('19', '3', '3', '3', '3', '19', '19'), 19)
(('168', '265', '168', '265', '265', '265', '265'), 18)
(('19', '19', '19', '3', '19', '3', '3'), 18)
(('19', '19', '19', '3', '3', '3', '3'), 18)
(('168', '168', '265', '265', '265', '168', '168'), 18)
(('168', '168', '265', '265', '265', '168', '265'), 18)
(('168', '265', '168', '265', '168', '265', '265'), 18)
(('265', '265', '168', '265', '265', '168', '265'), 18)
(('19', '3', '3', '3', '19', '19', '3'), 18)
(('3', '3', '19', '19', '3', '3', '19'), 18)
(('3', '3', '19', '19', '3', '19', '3'), 18)
(('265', '168', '168', '265', '265', '168', '265'), 18)
(('3', '265', '265', '265', '265', '265', '265'), 18)
(('265', '265', '265', '265', '168', '168', '168'), 18)
(('265', '265', '265', '168', '265', '265', '265'), 18)
(('168', '265', '265', '168', '265', '168', '265'), 18)
(('265', '265', '168', '168', '265', '265', '168'), 17)
(('168', '265', '265', '168', '265', '265', '265'), 17)
(('3', '19', '3', '3', '19', '19', '19'), 17)
(('3', '3', '3', '19', '3', '19', '3'), 17)
(('168', '265', '168', '265', '265', '168', '265'), 17)
(('168', '265', '265', '265', '168', '168', '168'), 17)
(('3', '3', '3', '19', '19', '19', '3'), 17)
(('168', '168', '168', '265', '168', '3', '168'), 17)
(('3', '3', '3', '19', '19', '3', '19'), 17)
(('3', '19', '19', '3', '19', '3', '3'), 17)
(('265', '265', '265', '265', '168', '265', '168'), 17)
(('265', '168', '265', '265', '265', '168', '265'), 17)
(('265', '265', '265', '168', '168', '265', '168'), 16)
(('3', '19', '3', '3', '19', '3', '19'), 16)
(('19', '3', '19', '19', '3', '3', '3'), 16)
(('265', '265', '168', '265', '168', '265', '265'), 16)
(('265', '265', '265', '265', '265', '265', '3'), 16)
(('3', '168', '265', '168', '265', '168', '265'), 16)
(('265', '168', '265', '265', '168', '168', '265'), 16)
(('168', '3', '168', '168', '265', '168', '265'), 16)
(('265', '265', '265', '265', '168', '168', '265'), 16)
(('3', '19', '19', '19', '3', '3', '3'), 16)
(('19', '3', '19', '3', '19', '3', '3'), 16)
(('265', '168', '265', '3', '265', '168', '265'), 15)
(('168', '168', '3', '168', '265', '265', '265'), 15)
(('168', '168', '168', '3', '168', '265', '168'), 15)
(('265', '168', '265', '265', '168', '265', '168'), 15)
(('3', '19', '19', '3', '19', '3', '19'), 15)
(('168', '168', '265', '265', '168', '168', '265'), 15)
(('265', '265', '168', '265', '168', '3', '168'), 15)
(('3', '168', '168', '265', '168', '265', '265'), 15)
(('265', '168', '168', '265', '168', '168', '265'), 15)
(('3', '19', '3', '19', '19', '3', '19'), 15)
(('19', '3', '3', '19', '19', '3', '3'), 15)
(('3', '19', '3', '3', '19', '19', '3'), 15)
(('168', '168', '265', '265', '265', '265', '265'), 15)
(('168', '265', '265', '265', '168', '168', '265'), 15)
(('3', '3', '19', '3', '19', '19', '19'), 14)
(('3', '19', '3', '19', '19', '3', '3'), 14)
(('3', '19', '19', '19', '3', '3', '19'), 14)
(('19', '3', '3', '19', '19', '19', '19'), 14)
(('19', '19', '3', '3', '3', '3', '19'), 14)
(('3', '3', '3', '3', '19', '19', '19'), 14)
(('19', '19', '3', '19', '3', '3', '19'), 14)
(('19', '3', '3', '3', '19', '3', '19'), 14)
(('265', '265', '265', '168', '265', '265', '168'), 14)
(('19', '19', '19', '19', '3', '19', '3'), 14)
(('19', '3', '19', '19', '3', '19', '3'), 14)
(('168', '3', '168', '265', '265', '265', '265'), 14)
(('168', '265', '265', '265', '168', '265', '265'), 14)
(('19', '3', '3', '19', '3', '19', '19'), 14)
(('19', '19', '3', '19', '3', '19', '3'), 14)
(('265', '265', '265', '265', '265', '3', '265'), 14)
(('265', '265', '168', '168', '265', '168', '265'), 14)
(('19', '19', '3', '3', '19', '3', '3'), 14)
(('3', '19', '19', '3', '3', '19', '19'), 14)
(('3', '19', '3', '19', '19', '19', '3'), 14)
(('265', '168', '265', '168', '3', '168', '168'), 14)
